Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth,578,0,160.0,175.897122664191,157.0748999947682,1653.5227000131272,27.0,19.272434346359418,0.0,160,160,170,170,180,190,230,670,1700,1700,1700
POST,/booking,574,0,160.0,174.91487926830504,157.01769999577664,697.8939999826252,200.0,19.139061098287726,0.0,160,170,170,170,180,190,230,650,700,700,700
DELETE,/booking/3223,1,0,164.87360000610352,164.87360000610352,164.87360000610352,164.87360000610352,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3224,1,0,166.83600001852028,166.83600001852028,166.83600001852028,166.83600001852028,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3225,1,0,169.3100999982562,169.3100999982562,169.3100999982562,169.3100999982562,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3226,1,0,167.271799989976,167.271799989976,167.271799989976,167.271799989976,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3227,1,0,168.1669000245165,168.1669000245165,168.1669000245165,168.1669000245165,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3228,1,0,174.00319999433123,174.00319999433123,174.00319999433123,174.00319999433123,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3229,1,0,165.0812000152655,165.0812000152655,165.0812000152655,165.0812000152655,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3230,1,0,165.19010000047274,165.19010000047274,165.19010000047274,165.19010000047274,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3231,1,0,166.12949999398552,166.12949999398552,166.12949999398552,166.12949999398552,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3238,1,0,162.20209997845814,162.20209997845814,162.20209997845814,162.20209997845814,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3239,1,0,170.0270000146702,170.0270000146702,170.0270000146702,170.0270000146702,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
